"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","complaint_flag_num"
2669,42.81326646,"Postpaid",3,34,"Social","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1151,11.3929388,"Basic",3,30,"Utility","iOS","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",40.96977913,117.739484,"High",0
1584,10.6739257,"Basic",0,32,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
2693,7.536181127,"Postpaid",1,45,"Social","Android","Hyderabad",31,"Female",278,42,799,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",22.52453984,962.7644596,"Medium",0
500,33.31330299,"Postpaid",4,34,"Gaming","Android","Bangalore",33,"Female",874,22,399,"Wallet","Retail Store","Yes",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",12.3555904,687.4714971,"Medium",1
2837,26.65478279,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
727,5.618018495,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408,226.9736639,"High",1
1815,3.66989358,"Unlimited",2,37,"Gaming","Android","Bangalore",26,"Male",366,47,299,"Cash","App","Yes",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",23.05743431,130.8052997,"Medium",1
1135,43.22420352,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
1226,5.669940995,"Basic",4,32,"Shopping","iOS","Bangalore",26,"Male",366,47,799,"Card","Retail Store","Yes",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",23.05743431,130.8052997,"Medium",1
1350,31.90267829,"Basic",0,18,"Gaming","iOS","Chennai",37,"Female",962,39,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",30.8892637,160.4578599,"High",1
1508,11.80121199,"Postpaid",0,13,"Utility","Feature","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",40.96977913,117.739484,"High",0
334,32.35075381,"Prepaid",3,9,"Utility","Android","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",9.672020245,910.5150711,"Low",1
1795,25.77440283,"Prepaid",3,11,"Gaming","iOS","Bangalore",33,"Female",874,22,799,"Card","Website","No",299,28,10,300,"Standard","15% Off",12.9,77.5,"4G",-57,"No",12.3555904,687.4714971,"Medium",1
1181,5.373624398,"Premium",4,26,"Shopping","Feature","Bangalore",26,"Male",366,47,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",23.05743431,130.8052997,"Medium",1
2544,11.22733215,"Postpaid",1,35,"Social","Android","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",52.3711426,538.6880784,"High",0
179,24.69114769,"Premium",2,37,"Streaming","iOS","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
950,23.20010328,"Postpaid",4,5,"Utility","Android","Mumbai",26,"Female",190,14,299,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",16.95748576,225.4204667,"Medium",1
1380,5.63423133,"Unlimited",2,15,"Shopping","Feature","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",19,72.8,"5G",-72,"No",36.98282235,320.8141987,"High",1
897,29.73944457,"Premium",0,5,"Social","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",6.95949479,287.0976296,"Low",1
